Capability,Kind,Requirement,RequirementID,Statement,Rationale,MatchedVia,MatchedObject,MatchedID
Build Kits,Capability,Cargo Pallet Fit,5bc632c1-af32-4682-945d-607c3dfe6912,The system components shall fit on a single 463L cargo air pallet.,Standardizes military air transport.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Build Kits,Capability,Durability,a55d41b8-0218-4629-992c-aad4706f14d4,The system shall be durable and weather resistant.,To withstand diverse environmental conditions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Build Kits,Capability,Easy Operation,727cda0b-9fc7-409a-bbf1-0cabae756b92,The system shall be easy to operate.,To allow various personnel to manage the system.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Build Kits,Capability,Export Capability,fd3da4fa-0815-4b65-bbc0-f5ddab20c8c4,The system shall be exportable to foreign nations.,For deployment in various geographic regions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Build Kits,Capability,Limited HAZMAT Needs,7ee5b285-3ad8-407b-a1af-540cb9045cda,The system shall have limited HAZMAT requirements.,To reduce risks associated with hazardous materials.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Build Kits,Capability,Low Maintenance,c073a16c-7a7c-4417-84a7-3bc86afc54f5,The system shall require low maintenance.,To reduce operational sustainment costs.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Build Kits,Capability,Non-Proprietary Technology,03b356b5-7b86-419a-bf4c-00e5e323e7da,The system shall use non-proprietary technology.,To ensure flexibility and interoperability.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Build Kits,Capability,Transportable System,61e43109-2c0b-4b5d-a820-1ab76f1f4e2b,"The system shall be transportable by air, sea, and land modes.",To ensure flexible logistics.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Build Kits,Capability,Use COTS Technology,f048abf8-026b-427e-bab8-a5b807f53220,The system shall utilize commercial-off-the-shelf technology.,Requires limited development and accessible technology.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Collect aerial imagery,Capability,Cargo Pallet Fit,5bc632c1-af32-4682-945d-607c3dfe6912,The system components shall fit on a single 463L cargo air pallet.,Standardizes military air transport.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Collect aerial imagery,Capability,Durability,a55d41b8-0218-4629-992c-aad4706f14d4,The system shall be durable and weather resistant.,To withstand diverse environmental conditions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Collect aerial imagery,Capability,Easy Operation,727cda0b-9fc7-409a-bbf1-0cabae756b92,The system shall be easy to operate.,To allow various personnel to manage the system.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Collect aerial imagery,Capability,Export Capability,fd3da4fa-0815-4b65-bbc0-f5ddab20c8c4,The system shall be exportable to foreign nations.,For deployment in various geographic regions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Collect aerial imagery,Capability,Limited HAZMAT Needs,7ee5b285-3ad8-407b-a1af-540cb9045cda,The system shall have limited HAZMAT requirements.,To reduce risks associated with hazardous materials.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Collect aerial imagery,Capability,Low Maintenance,c073a16c-7a7c-4417-84a7-3bc86afc54f5,The system shall require low maintenance.,To reduce operational sustainment costs.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Collect aerial imagery,Capability,Non-Proprietary Technology,03b356b5-7b86-419a-bf4c-00e5e323e7da,The system shall use non-proprietary technology.,To ensure flexibility and interoperability.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Collect aerial imagery,Capability,Transportable System,61e43109-2c0b-4b5d-a820-1ab76f1f4e2b,"The system shall be transportable by air, sea, and land modes.",To ensure flexible logistics.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Collect aerial imagery,Capability,Use COTS Technology,f048abf8-026b-427e-bab8-a5b807f53220,The system shall utilize commercial-off-the-shelf technology.,Requires limited development and accessible technology.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Communications Management,Capability,Cargo Pallet Fit,5bc632c1-af32-4682-945d-607c3dfe6912,The system components shall fit on a single 463L cargo air pallet.,Standardizes military air transport.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Communications Management,Capability,Durability,a55d41b8-0218-4629-992c-aad4706f14d4,The system shall be durable and weather resistant.,To withstand diverse environmental conditions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Communications Management,Capability,Easy Operation,727cda0b-9fc7-409a-bbf1-0cabae756b92,The system shall be easy to operate.,To allow various personnel to manage the system.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Communications Management,Capability,Export Capability,fd3da4fa-0815-4b65-bbc0-f5ddab20c8c4,The system shall be exportable to foreign nations.,For deployment in various geographic regions.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Communications Management,Capability,Limited HAZMAT Needs,7ee5b285-3ad8-407b-a1af-540cb9045cda,The system shall have limited HAZMAT requirements.,To reduce risks associated with hazardous materials.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Communications Management,Capability,Low Maintenance,c073a16c-7a7c-4417-84a7-3bc86afc54f5,The system shall require low maintenance.,To reduce operational sustainment costs.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
Communications Management,Capability,Non-Proprietary Technology,03b356b5-7b86-419a-bf4c-00e5e323e7da,The system shall use non-proprietary technology.,To ensure flexibility and interoperability.,Component,PEAK,ddc7faf6-4ef7-4adb-9c7b-8a55f0958947
